steamidnumber;gametitle;releasemonth;releaseyear;releaseprice;lowestestimatedownersnumber;highestestimatedownersnumber;averageestimatedownersnumber;developer;publisher
9264;TimeBreakChronicles;September;2020;1.499,00 Ä;50;100;75;WarriorGeneralGamesLLC;WarriorGeneralGamesLLC
9265;KnightBewitched;April;2018;499,00 Ä;20;20;20;JoshuaKeith;JoshuaKeith
9266;LastLovers;March;2022;899,00 Ä;20;20;20;PGVPTEAM;VPTEAMWindFieldGames
9267;BMS1;October;2020;1.299,00 Ä;20;20;20;;
9268;TheHaremLifeofPeerlessSwordsmen;June;2022;559,00 Ä;20;20;20;HeraGames;HeraGames
9269;Raubritter;July;2022;1.999,00 Ä;50;100;75;MedievalBytes;Sartorian
9270;MechanicMiner;February;2020;1.999,00 Ä;20;20;20;HelloJohn;HelloJohn
9271;PurrfectApawcalypsePurrgatoryFurever;April;2021;599,00 Ä;20;20;20;DennyTruongAndySchneider;90%Studios
9272;Featherfall;January;2020;299,00 Ä;20;20;20;SokpopCollective;SokpopCollective
9273;DiscoveryTourbyAssassinsCreedAncientEgypt;February;2018;1.999,00 Ä;20;20;20;UbisoftMontreal;Ubisoft
9274;PsyHigh;December;2014;499,00 Ä;20;20;20;ChoiceofGames;ChoiceofGames
9275;EpicQuestofthe4Crystals;September;2015;49,00 Ä;50;100;75;RosePortalGames;AldorleaGames
9276;ArtifactAdventure;May;2015;699,00 Ä;20;50;35;bluffman;PLAYISM
9277;EmpireArchitect;October;2017;1.499,00 Ä;20;50;35;BatholithEntertainment;BatholithEntertainment
9278;TinyTasyTown;October;2018;199,00 Ä;20;20;20;Rabbiroo;INDIECN
9279;TheTaleofaCommonMan;September;2016;599,00 Ä;20;20;20;AldorleaGames;AldorleaGames
9280;Einlanzer;March;2017;399,00 Ä;20;50;35;AndrewRyanHenke;NostalgiaAddictGames
9281;FissionSuperstarX;May;2019;1.499,00 Ä;20;20;20;TurboPelvis3000inc;TurboPelvis3000inc
9282;DragonFangZTheRose&DungeonofTime;February;2018;2.499,00 Ä;20;20;20;ToydeaInc;ToydeaInc
9283;BattleMages;November;2003;399,00 Ä;20;50;35;TargemGames;ESDigitalGames
9284;LiveEmpire;November;2020;299,00 Ä;20;50;35;HappyMaxGeminiStarsGames;HappyMax
9285;FururuProjectRuby;February;2019;499,00 Ä;20;20;20;MeowshmallowStudio;MeowshmallowStudio
9286;VestariaSagaIITheSacredSwordofSilvanister;July;2022;1.999,00 Ä;20;20;20;VestariaProject;DANGENEntertainmentGameraGames
9287;FishingParadiso;June;2022;1.499,00 Ä;20;20;20;Odencat;Odencat
9288;TheLegendofHeroesSennoKisekiIVTHEENDOFSAGA;December;2021;2.249,00 Ä;20;20;20;NihonFalcom;CloudedLeopardEntertainment
9289;AncientWarsSpartaDefinitiveEdition;January;2022;1.999,00 Ä;20;20;20;JOTASOFTSTUDIOS;JOTASOFTSTUDIOS
9290;RealmsofArkaniaStarTrail;August;2017;2.999,00 Ä;20;20;20;UnitedIndependentEntertainmentGmbHCraftyStudios;UnitedIndependentEntertainment
9291;LostScavenger;January;2022;1.499,00 Ä;20;50;35;Rockbee;Rockbee
9292;NoirSyndrome;April;2014;499,00 Ä;20;50;35;GlassKnuckleGames;GlassKnuckleGames
9293;AFrontTooFarNormandy;December;2018;499,00 Ä;20;20;20;MarcoAmadei;CorvostudiodiAmadeiMarco
